name;id;family;x;y;Rec.P;RecRef.I;RecRef.D;ContQInitial;ContQNonInitial;NumNoun;NounNum;DegWAdj;AdjDegW;GenN;NGen;AdjN;NAdj;PossAff.P;PossPre;PossSuff;ComInst;NPconj;NVconj;DefArt;IndefArt;PronomS;IndefPron;PronDem;DemDis;PronAdnDem;IntRef;GenPron;Gender;Gender.n;NegMorph;NPlural;OrdNum;DistNum;AdpN;DemN;NegV;OXV;RelN;Passive;Optative;Prohibitive;Imperative;AdpPM;PolarQ;PossClass;PossLocus;Reduplication;Future;Past;Aspect;Vper;SOV;Agr.Number;Agr.Gender;Agr.Case;Agr.State;Agr.none;Agr.Role;NPHeadlessness;ClausePosition;NumClass.n;Alignment
Old.Frisian;OldFrisian;IE;7,50;53,58;Y;Y;N;Y;N;Y;N;Y;N;Y;N;Y;N;Y;NA;NA;Identity;And different from with;Identity;Demonstrative word used as definite article;Indefinite word same as one;Obligatory pronouns in subject position;Interrogativebased;Unrelated;No distance contrast;Identical;Identical;3rd person only but also nonsingular;Semantic and formal;Three;Negative particle;Plural suffix;First second threeth;Marked by suffix;Prepositions;DemonstrativeNoun;NegV;VXO;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;No grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;NA;0;SvAtrxP
Middle.Greek;MiddleGreek;IE;29,00;41,00;Y;N;Y;Y;N;Y;N;Y;N;N;Y;Y;N;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;No indefinite but definite article;Subject affixes on verb;Mixed indefinites;Related to nonremote demonstratives;Twoway contrast;Identical;Identical;3rd person only but also nonsingular;Semantic and formal;Three;Negative particle;Plural suffix;First second threeth;Marked by preceding word;Prepositions;DemonstrativeNoun;NegV;VOX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  special negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;Y;N;N;N;OK;NA;0;SvAtrxP
Middle.High.German;MiddleHighGerman;IE;10,60;48,25;Y;N;N;Y;N;Y;N;Y;N;Y;N;Y;N;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Obligatory pronouns in subject position;Genericnounbased;Unrelated;Twoway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Three;Double negation;Plural suffix;First second threeth;Marked by preceding word;Prepositions;DemonstrativeNoun;VNeg;VXO;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;No grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;flexibleadjacent;0;SvAtrxP
Old.Icelandic;OldIcelandic;IE;-17,00;65,00;Y;N;Y;Y;N;Y;Y;N;Y;N;Y;Y;Y;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;No indefinite but definite article;Obligatory pronouns in subject position;Interrogativebased;Unrelated;Twoway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Three;Negative particle;Plural suffix;First second threeth;Marked by suffix;Prepositions;Mixed;NegV;VXO;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;No grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;fixedpostmain;0;SvAtrxP
Middle.Irish;MiddleIrish;IE;-8,00;53,00;Y;N;Y;Y;N;Y;N;Y;N;N;Y;N;Y;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;No indefinite but definite article;Subject affixes on verb;Special;Unrelated;Threeway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Plural suffix;First second threeth;Marked by preceding word;Prepositions;NounDemonstrative;NegV;VOX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  special negative;Second singular;Pronouns only;Initial;No possessive classification;Dependent marking;No productive reduplication;Inflectional future exists;Present no remoteness distinctions;Grammatical marking;Only the A argument;VSO;Y;Y;Y;N;N;N;OK;flexibleadjacent;0;SvAtrvP
Old.Lithuanian;OldLithuanian;IE;24,00;55,00;Y;N;Y;Y;N;Y;N;Y;N;N;Y;Y;N;Y;NA;NA;Differentiation;And different from with;Identity;No definite or indefinite article;No definite or indefinite article;Subject affixes on verb;Interrogativebased;Unrelated;Threeway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Two;Negative affix;Plural suffix;First second threeth;Marked by preceding word;Prepositions;DemonstrativeNoun;NegV;No dominant order;NounRelative clause;Present;Inflectional optative present;Normal imperative  normal negative;Second singular and second plural;No person marking;Initial;No possessive classification;Dependent marking;No productive reduplication;Inflectional future exists;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;Y;N;N;N;OK;flexiblerelational;0;SvAtrxP
Middle.Low.German;MiddleLowGerman;IE;-1,00;52,00;Y;Y;N;Y;N;Y;N;Y;N;Y;N;Y;N;Y;NA;NA;Identity;And different from with;Identity;Demonstrative word used as definite article;Indefinite word same as one;Obligatory pronouns in subject position;Mixed indefinites;Unrelated;NA;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Three;Double negation;Plural suffix;First second threeth;Marked by preceding word;Prepositions;DemonstrativeNoun;VNeg;VXO;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;No grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;flexibleadjacent;0;SvAtrxP
Old.Low.German;OldLowGerman;IE;-1,00;52,00;Y;Y;N;Y;N;Y;N;Y;N;Y;N;Y;N;Y;NA;NA;Identity;And different from with;Identity;Demonstrative word used as definite article;Indefinite word same as one;Obligatory pronouns in subject position;Interrogativebased;Unrelated;No distance contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Three;Negative particle;Plural suffix;First second threeth;Marked by suffix;Prepositions;DemonstrativeNoun;NegV;VXO;NounRelative clause;Present;Inflectional optative absent;NA;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;No grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;Y;OK;flexibleadjacent;0;SvAtrxP
Old.Norwegian;OldNorwegian;IE;6,06;62,09;Y;N;N;Y;N;Y;N;Y;N;N;Y;Y;N;Y;NA;NA;Identity;And different from with;Identity;Demonstrative word used as definite article;No indefinite but definite article;Obligatory pronouns in subject position;Interrogativebased;Unrelated;Twoway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Three;Negative particle;Plural suffix;First second threeth;Marked by suffix;Prepositions;NounDemonstrative;VNeg;VOX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;No grammatical marking;Only the A argument;No dominant order;Y;Y;Y;N;N;N;OK;NA;0;SvAtrxP
Middle.Persian;MiddlePersian;IE;54,00;32,00;Y;N;Y;Y;Y;Y;N;Y;N;Y;Y;Y;Y;N;N;Y;Differentiation;And different from with;Identity;No definite or indefinite article;No definite or indefinite article;Obligatory pronouns in subject position;Mixed indefinites;Related for all demonstratives;Twoway contrast;Identical;NA;No gender distinctions;Semantic and formal;Two;Negative particle;Plural suffix;First second threeth;Marked by reduplication;No dominant order;DemonstrativeNoun;NegV;No dominant order;NounRelative clause;Present;Inflectional optative present;Normal imperative  special negative;Second singular;Pronouns only;No question particle;No possessive classification;Dependent marking;Full reduplication only;No inflectional future;No past tense;No grammatical marking;A or P argument;SOV;N;N;N;N;N;N;NA;NA;0;SvAtrvP
