name,id,family,x,y,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Role,ClausePosition,Alignment
Imbabura Highland Quichua,ImbaburaHighlandQuichua,,-78.0,0.333333333,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,,,Identity,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Related for nonhuman reference,,,,No gender distinctions,No gender,,Negative particle,Plural suffix,Firstoneth twoth threeth,,Postpositions,DemonstrativeNoun,NegV,XOV,Relative clauseNoun,Present,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,Final,No possessive classification,Dependent marking,Full reduplication only,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,SOV,,,,,,,flexibleadjacent,SvAtrxP
Imonda,Imonda,Waris,141.1666667,-3.333333333,Y,Y,N,,,N,Y,Y,Y,Y,N,N,Y,Y,,,Differentiation,,Differentiation,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,,Unrelated,Twoway contrast,Identical,Identical,No gender distinctions,No gender,,Negative particle,No plural,,No distributive numerals,Postpositions,Mixed,NegV,,Mixed,Absent,Inflectional optative absent,Special imperative  special negative,Second person numberneutral,No person marking,,Two classes,Double marking,,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,No person marking,,,,,,,,,SvAtrxP
Indonesian,Indonesian,Malayo-Polynesian,106.0,0.0,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,,,Mixed,And identical to with,Identity,Demonstrative word used as definite article,No indefinite but definite article,Obligatory pronouns in subject position,Genericnounbased,Unrelated,Twoway contrast,Identical,Identical,No gender distinctions,No gender,,Negative word unclear if verb or particle,Plural complete reduplication,Firstoneth twoth threeth,No distributive numerals,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,No person marking,In either of two positions,No possessive classification,No marking,Full reduplication only,No inflectional future,No past tense,No grammatical marking,Only the P argument,SVO,,,,,,,,
Iraqw,Iraqw,Southern Cushitic,35.5,-4.0,,,,N,Y,N,Y,,,N,Y,N,Y,N,N,Y,Mixed,,Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Genericnounbased,Unrelated,Fourway contrast,Different stem,,1st or 2nd person but not 3rd,Semantic and formal,Two,Negative affix,Plural suffix,First two three,Marked by reduplication,Prepositions,NounDemonstrative,VNeg,No dominant order,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,No question particle,,,,,,,Only the A argument,SOV,Y,Y,N,N,N,N,,SvAtrvP
Irish,Irish,Italic-Celtic,-8.0,53.0,,,,Y,N,Y,N,,,N,Y,N,Y,Y,,,Identity,And different from with,,Definite word distinct from demonstrative,No indefinite but definite article,Mixed,Genericnounbased,Related to remote demonstratives,Threeway contrast,Identical,Identical,3rd person singular only,,,Negative particle,Mixed morphological plural,First second threeth,,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,Pronouns only,Initial,,,No productive reduplication,,,,Only the A argument,VSO,,,,,,,,
Japanese,Japanese,,140.0,37.0,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,,,Differentiation,And identical to with,Differentiation,No definite but indefinite article,Indefinite word distinct from one,Optional pronouns in subject position,Interrogativebased,Unrelated,Threeway contrast,Different inflection,Identical,3rd person only but also nonsingular,,,Negative affix,Plural suffix,Oneth twoth threeth,Marked by suffix,Postpositions,DemonstrativeNoun,VNeg,XOV,Relative clauseNoun,Present,Inflectional optative absent,Normal imperative  special negative,Second person numberneutral,No person marking,Final,No possessive classification,Dependent marking,Full reduplication only,No inflectional future,Present no remoteness distinctions,No grammatical marking,No person marking,SOV,,,,,,,,SvAtrxP
Kannada,Kannada,South Dravidian,76.0,14.0,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,,,Differentiation,And different from with,Differentiation,,Indefinite word same as one,Subject affixes on verb,Interrogativebased,Related to remote demonstratives,Twoway contrast,Different inflection,Identical,3rd person only but also nonsingular,Semantic,Three,Negative affix,Plural suffix,Firstoneth twoth threeth,Marked by reduplication,Postpositions,DemonstrativeNoun,VNeg,,Mixed,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,Final,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Only the A argument,SOV,,,,,,,,SvAtrxP
Karok,Karok,,-123.0,41.66666667,Y,N,Y,,,Y,N,,,Y,N,N,Y,N,Y,N,Differentiation,,Differentiation,Definite word distinct from demonstrative,,Subject affixes on verb,Interrogativebased,,,,Differentiated,No gender distinctions,No gender,,Double negation,Plural suffix,,,Postpositions,DemonstrativeNoun,ObligDoubleNeg,No dominant order,,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,,No possessive classification,Head marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,No dominant order,,,,,,,,SvAtrvP
Kayardild,Kayardild,Southern Tangkic,139.5,-17.05,Y,N,Y,N,Y,Y,N,,,Y,N,Y,N,,,,Differentiation,,,Definite word distinct from demonstrative,Indefinite word same as one,Optional pronouns in subject position,Interrogativebased,Related for nonhuman reference,Twoway contrast,Identical,Identical,No gender distinctions,No gender,,Negative affix,No plural,,Marked by mixed or other strategies,No adpositions,DemonstrativeNoun,VNeg,No dominant order,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second person numberneutral,No adpositions,No question particle,Two classes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,No person marking,No dominant order,,,,,,,,
Ket,Ket,,87.0,64.0,,,,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,N,Identity,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,,Interrogativebased,,Threeway contrast,Different inflection,Differentiated,No gender distinctions,Semantic,Three,,Plural suffix,Firstoneth twoth threeth,Marked by suffix,Postpositions,DemonstrativeNoun,NegV,,,Present,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,Pronouns and nouns,,No possessive classification,Head marking,,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,SOV,,,,,,,,SvAtrvP
