name,id,family,x,y,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Role,ClausePosition,Alignment
Maybrat-Karon,MaybratKaron,South Bird’s Head,132.5,-1.333333333,N,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,N,,,Identity,Definite word distinct from demonstrative,No indefinite but definite article,Optional pronouns in subject position,Genericnounbased,Related by gender markers,Threeway contrast,Identical,,3rd person singular only,Semantic,Two,Negative particle,No plural,Firstoneth twoth threeth,No distributive numerals,Prepositions,NounDemonstrative,VNeg,VOX,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,Pronouns and nouns,Final,Two classes,Dependent marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,SVO,,,,,,,,SvAtrvP
Modern Greek,ModernGreek,Greek-Armenian,22.0,39.0,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Interrogativebased,,Threeway contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by preceding word,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,Initial,No possessive classification,Double marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,No dominant order,Y,Y,N,N,N,Y,,Mixed
Modern Hebrew,ModernHebrew,West Semitic,34.83333333,31.5,Y,N,N,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Identity,And different from with,Identity,Definite affix,Indefinite word same as one,Mixed,Interrogativebased,Related for all demonstratives,Twoway contrast,Identical,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,First twoth threeth,No distributive numerals,Prepositions,NounDemonstrative,NegV,,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,Pronouns only,Initial,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,,,,,,,,SvAtrxP
Nama (Namibia),Nama,Khoekhoe,18.0,-25.5,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,,,,Identity,And different from with,Identity,,Indefinite affix,Obligatory pronouns in subject position,,Unrelated,Twoway contrast,,,In 3rd person  1st andor 2nd person,Semantic and formal,Three,Negative particle,Plural suffix,First twoth threeth,,Postpositions,DemonstrativeNoun,VNeg,XOV,Relative clauseNoun,Present,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,No person marking,Second position,Two classes,Dependent marking,Productive full and partial reduplication,No inflectional future,Present 23 remoteness distinctions,Grammatical marking,Only the P argument,SOV,,,,,,,,SvAtrxP
Oneida,Oneida,Northern Iroquoian,-75.66666667,43.0,Y,Y,N,Y,N,,,Y,N,Y,Y,,,N,Y,N,,,,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,,Unrelated,Twoway contrast,Identical,Differentiated,No gender distinctions,Semantic,Three,Negative particle,Mixed morphological plural,,,No adpositions,DemonstrativeNoun,OptDoubleNeg,No dominant order,Internally headed,Absent,Inflectional optative absent,Normal imperative  special negative,Second person numberneutral,No adpositions,Second position,No possessive classification,Head marking,No productive reduplication,Inflectional future exists,No past tense,Grammatical marking,Both the A and P arguments,No dominant order,,,,,,,,
Paraguayan Guaraní,ParaguayanGuaraní,Tupi-Guaraní,-56.0,-26.0,Y,N,Y,N,Y,Y,N,,,Y,N,N,Y,N,Y,N,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,Mixed indefinites,Unrelated,Threeway contrast,Different stem,,No gender distinctions,No gender,,Double negation,Plural word,Firstoneth twoth threeth,,Postpositions,DemonstrativeNoun,ObligDoubleNeg,VOX,,Absent,Inflectional optative present,Special imperative  special negative,Second singular,Pronouns only,,No possessive classification,Head marking,,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,SVO,,,,,,,,SvAtrvP
Paumari,Paumari,,-64.0,-6.0,,,,Y,N,N,Y,,,Y,N,N,Y,N,Y,Y,,,,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,,Related for all demonstratives,Threeway contrast,Identical,Differentiated,3rd person singular only,Semantic,Four,Variation between negative word and affix,No plural,,,Postpositions,DemonstrativeNoun,Type 1  Type 4,No dominant order,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,No question particle,Two classes,Head marking,Productive full and partial reduplication,,,,Only the A argument,SVO,,,,,,,,
Pirahã,Pirahã,,-62.0,-7.0,N,N,N,N,Y,N,Y,,,Y,N,N,Y,,,,Differentiation,,Identity,No definite or indefinite article,No definite or indefinite article,,Mixed indefinites,Related to remote demonstratives,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic,Four,Negative affix,No plural,,,Postpositions,NounDemonstrative,VNeg,XOV,,Absent,Inflectional optative absent,,No secondperson imperatives,No person marking,Final,No possessive classification,No marking,No productive reduplication,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,SOV,,,,,,,,SvAtrvP
Plateau Malagasy,PlateauMalagasy,,47.0,-20.0,Y,N,Y,Y,N,N,Y,,,N,Y,N,Y,Y,,,,And different from with,,Definite word distinct from demonstrative,No indefinite but definite article,Obligatory pronouns in subject position,Genericnounbased,,Five or moreway contrast,Identical,Identical,No gender distinctions,No gender,,Negative particle,No plural,First twoth threeth,Marked by following word,Prepositions,Demonstrative before and after Noun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second person numberneutral,Pronouns only,In either of two positions,No possessive classification,Other,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,No person marking,VOS,,,,,,,,
Popti',Popti',Greater Kanjobalan,-91.66666667,15.66666667,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,Differentiation,And identical to with,Differentiation,No definite but indefinite article,Indefinite word same as one,Mixed,Interrogativebased,Unrelated,Twoway contrast,,,No gender distinctions,,,Negative particle,Plural word,Firstoneth twoth threeth,,Prepositions,NounDemonstrative,NegV,,NounRelative clause,Present,Inflectional optative absent,Special imperative  normal negative,Second singular and second plural,Pronouns and nouns,No question particle,No possessive classification,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,VSO,,,,,,,,SvAtrvP
Rama,Rama,Rama,-83.75,11.75,N,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,,,,Definite word distinct from demonstrative,Indefinite word distinct from one,Subject affixes on verb,,Related for all demonstratives,Twoway contrast,,Differentiated,No gender distinctions,No gender,,Negative particle,Plural clitic,,,Postpositions,DemonstrativeNoun,Type 1  Type 4,No dominant order,,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,Pronouns only,,Two classes,Other,,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Only the A argument,SOV,,,,,,,,Mixed
Rapanui,Rapanui,Malayo-Polynesian,-109.3666667,-27.11666667,Y,Y,N,,,Y,N,,,N,Y,N,Y,,,,Differentiation,,,Definite word distinct from demonstrative,Indefinite word same as one,Optional pronouns in subject position,,Related to remote demonstratives,Threeway contrast,Identical,Identical,No gender distinctions,No gender,,Negative word unclear if verb or particle,Plural word,First twoth threeth,,Prepositions,NounDemonstrative,OptDoubleNeg,,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  normal negative,No secondperson imperatives,No person marking,Initial,Two classes,Dependent marking,Full reduplication only,No inflectional future,Present no remoteness distinctions,No grammatical marking,No person marking,VSO,,,,,,,,
Russian,Russian,Balto-Slavic,38.0,56.0,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,,,Mixed,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Obligatory pronouns in subject position,Interrogativebased,,Twoway contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by preceding word,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Second position,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,,,,,,,flexibleadjacent,SvAtrxP
San Miguel El Grande Mixtec,SanMiguelElGrandeMixtec,Mixtecan,-97.58333333,17.05,,,,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,,,,,Identity,No definite or indefinite article,No definite or indefinite article,Mixed,,Unrelated,Twoway contrast,,Identical,No gender distinctions,Semantic,Five or more,Negative particle,Plural word,,,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  special negative,Second person numberneutral,Pronouns only,No question particle,No possessive classification,No marking,,Inflectional future exists,No past tense,Grammatical marking,Only the A argument,VSO,,,,,,,,
Sango,Sango,,18.0,5.0,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,,,Identity,And identical to with,Identity,Definite word distinct from demonstrative,,Subject affixes on verb,Genericnounbased,Unrelated,,,,No gender distinctions,No gender,,Negative particle,Plural prefix,,,Prepositions,NounDemonstrative,VNeg,VOX,NounRelative clause,Absent,,Normal imperative  normal negative,No secondperson imperatives,No person marking,Final,No possessive classification,Dependent marking,,No inflectional future,No past tense,No grammatical marking,No person marking,SVO,,,,,,,,SvAtrvP
Southern Yukaghir,SouthernYukaghir,,150.8333333,65.75,Y,N,Y,N,Y,Y,N,,,Y,N,Y,N,N,N,Y,Differentiation,And different from with,Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Unrelated,Twoway contrast,Different stem,,No gender distinctions,No gender,,Negative affix,Plural suffix,First twoth threeth,No distributive numerals,Postpositions,DemonstrativeNoun,NegV,,Relative clauseNoun,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,No question particle,Two classes,No marking,No productive reduplication,Inflectional future exists,No past tense,No grammatical marking,Only the A argument,SOV,,,,,,,,
Spanish,Spanish,Italic-Celtic,-4.0,40.0,Y,N,N,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Special,Unrelated,Threeway contrast,Identical,Differentiated,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,No distributive numerals,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  normal negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SVO,,,,,,,,SvAtrxP
Supyire Senoufo,SupyireSenoufo,Northern Senufo,-5.583333333,11.5,Y,Y,N,Y,Y,N,Y,,,Y,N,N,Y,Y,,,Mixed,,Differentiation,Definite affix,Indefinite word distinct from one,Obligatory pronouns in subject position,,Related for all demonstratives,No distance contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Five or more,Negative particle,Plural suffix,First twoth threeth,Marked by reduplication,Postpositions,DemonstrativeNoun,OptDoubleNeg,OVX,Correlative,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular,No person marking,Final,No possessive classification,Head marking,,No inflectional future,Present 23 remoteness distinctions,Grammatical marking,No person marking,SOV,,,,,,,,SvAtrvP
Swahili,Swahili,Bantoid,39.0,-6.5,Y,N,Y,N,Y,N,Y,,,N,Y,N,Y,N,N,Y,Differentiation,And identical to with,,Demonstrative word used as definite article,,Subject affixes on verb,Genericnounbased,,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Five or more,Negative affix,Plural prefix,First second threeth,Marked by reduplication,Prepositions,NounDemonstrative,NegV,,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,Initial,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,SVO,Y,Y,N,N,N,N,flexiblerelational,SvAtrvP
Tagalog,Tagalog,Malayo-Polynesian,121.0,15.0,Y,N,Y,Y,N,Y,N,,,N,Y,Y,Y,,,,Differentiation,And different from with,Identity,,,,Existential construction,Unrelated,Threeway contrast,Identical,Differentiated,No gender distinctions,Semantic,Two,Negative particle,Plural word,First twoth threeth,Marked by mixed or other strategies,,Mixed,NegV,,NounRelative clause,Absent,Inflectional optative present,Normal imperative  special negative,Second singular and second plural,No adpositions,Second position,No possessive classification,Other,Productive full and partial reduplication,Inflectional future exists,No past tense,Grammatical marking,No person marking,VSO,,,,,,,,
Thai,Thai,,101.0,16.0,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Y,,,Differentiation,And different from with,Identity,No definite but indefinite article,Indefinite word distinct from one,Optional pronouns in subject position,Interrogativebased,Unrelated,,,Identical,No gender distinctions,No gender,,Negative auxiliary verb,,Firstoneth twoth threeth,No distributive numerals,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,No person marking,Final,No possessive classification,Dependent marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,No person marking,SVO,,,,,,,,SvAtrvP
Tiwi,Tiwi,,131.0,-11.5,Y,N,Y,Y,Y,Y,N,,,Y,N,Y,N,Y,,,,And different from with,Both expressed by juxtaposition,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,,Twoway contrast,Identical,Identical,3rd person singular only,Semantic,Two,Negative particle,Plural suffix,,Marked by suffix,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,Final,Two classes,No marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,SVO,,,,,,,,SvAtrvP
Vietnamese,Vietnamese,Eastern Mon-Khmer,106.5,10.5,Y,N,Y,N,Y,Y,N,,,N,Y,N,Y,Y,,,,And different from with,Identity,Definite word distinct from demonstrative,,Optional pronouns in subject position,Interrogativebased,Related to remote demonstratives,Twoway contrast,,Identical,No gender distinctions,No gender,,Negative word unclear if verb or particle,Plural word,Various,No distributive numerals,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,No person marking,Final,No possessive classification,No marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,No person marking,SVO,,,,,,,,SvAtrvP
Warao,Warao,,-61.66666667,9.333333333,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,Differentiation,,Both expressed by juxtaposition,,,,Mixed indefinites,Related to nonremote demonstratives,Threeway contrast,Different stem,Identical,No gender distinctions,No gender,,Negative affix,Plural suffix,First two three,No distributive numerals,Postpositions,DemonstrativeNoun,VNeg,,,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Other,,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the P argument,,,,,,,,,SvAtrvP
Wari',Wari',,-65.0,-11.33333333,Y,Y,N,Y,N,,,Y,Y,N,Y,,,N,N,Y,,,Identity,No definite or indefinite article,No definite or indefinite article,Subject pronouns in different position,,Unrelated,Threeway contrast,Different stem,Differentiated,3rd person only but also nonsingular,Semantic,Three,Negative word unclear if verb or particle,Plural word,,No distributive numerals,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,Pronouns and nouns,No question particle,Three to five classes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Both the A and P arguments,VOS,,,,,,,,SvAtrvP
Western Farsi,WesternFarsi,Indo-Iranian,54.0,32.0,Y,N,Y,N,Y,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,No definite but indefinite article,,Subject affixes on verb,Genericnounbased,Related for nonhuman reference,Twoway contrast,Different inflection,Identical,3rd person singular only,No gender,,Negative affix,Plural suffix,Firstoneth twoth threeth,No distributive numerals,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,Pronouns only,Initial,No possessive classification,Head marking,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,,,,,,,,SvAtrxP
Western Keres,WesternKeres,,-107.5833333,34.91666667,,,,,,Y,Y,,,Y,N,Y,Y,N,Y,N,Differentiation,,Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,,Threeway contrast,Identical,,,No gender,,Negative particle,Plural suffix,Firstoneth twoth threeth,,Postpositions,DemonstrativeNoun,Type 1  Type 4,No dominant order,,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,,No possessive classification,Head marking,,No inflectional future,No past tense,No grammatical marking,Both the A and P arguments,No dominant order,,,,,,,,SvAtrvP
Wubuy,Wubuy,Ngandi-Nunggubuyu,135.6666667,-13.75,Y,N,Y,Y,N,,,,,Y,Y,Y,Y,,,,,,,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Unrelated,Threeway contrast,Identical,Differentiated,In 3rd person  1st andor 2nd person,Semantic and formal,Five or more,Negative particle,Plural prefix,,,No adpositions,DemonstrativeNoun,NegV,No dominant order,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,No adpositions,In either of two positions,Two classes,Dependent marking,Productive full and partial reduplication,,,,Both the A and P arguments,No dominant order,,,,,,,,SvAtrvP
Yagua,Yagua,,-72.0,-3.5,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,N,Y,N,,,Both expressed by juxtaposition,No definite or indefinite article,No definite or indefinite article,Subject clitics on variable host,Special,Related for nonhuman reference,Twoway contrast,Identical,,No gender distinctions,,,Negative particle,Plural suffix,,,Postpositions,DemonstrativeNoun,NegV,,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  normal negative,No secondperson imperatives,Pronouns and nouns,Second position,No possessive classification,Head marking,No productive reduplication,No inflectional future,Present 4 or more remoteness distinctions,Grammatical marking,Both the A and P arguments,No dominant order,,,,,,,,SvAtrvP
Yaqui,Yaqui,Southern Uto-Aztecan,-110.25,27.5,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,,,Differentiation,And different from with,Identity,No definite but indefinite article,Indefinite word distinct from one,Mixed,Interrogativebased,Unrelated,,,Differentiated,No gender distinctions,No gender,,Negative particle,Plural suffix,Oneth twoth threeth,,Postpositions,DemonstrativeNoun,NegV,,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,Initial,No possessive classification,Double marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,No person marking,SOV,,,,,,,,Mixed
Yoruba,Yoruba,Yoruboid,4.333333333,8.0,Y,Y,N,Y,N,N,Y,,,N,Y,N,Y,Y,,,Differentiation,And identical to with,Differentiation,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Genericnounbased,Unrelated,Twoway contrast,Identical,Differentiated,No gender distinctions,No gender,,Negative word unclear if verb or particle,Plural word,Oneth twoth threeth,Marked by reduplication,Prepositions,NounDemonstrative,NegV,,NounRelative clause,Absent,Inflectional optative absent,,No secondperson imperatives,No person marking,No question particle,No possessive classification,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,No person marking,SVO,,,,,,,,Mixed
