name,id,family,x,y,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Role,ClausePosition,Alignment
Old.Portuguese,OldPortuguese,Italic,-8.0,39.0,,,,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Special,Unrelated,Fourway contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,,SvAtrxP
Old.Provencal,OldProvencal,Italic,0.6,43.5,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word distinct from one,Subject affixes on verb,Mixed indefinites,Unrelated,Twoway contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,No distributive numerals,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
Old.Russian,OldRussian,Slavic,38.0,56.0,,,,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,,,Differentiation,And different from with,,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Related to remote demonstratives,Twoway contrast,,Identical,3rd person only but also nonsingular,,Three,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Other position,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SOV,Y,Y,N,N,N,Y,,SvAtrxP
Old.Sardinian,OldSardinian,Italic,9.0,40.0,,,,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Interrogativebased,Unrelated,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,Marked by following word,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Initial,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present 23 remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,,SvAtrxP
Old.Sicilian,OldSicilian,Italic,13.22,38.07,,,,,,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Genericnounbased,Related for all demonstratives,Twoway contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,,,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,,Inflectional optative absent,Normal imperative  normal negative,,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,,SvAtrxP
Old.Church.Slavic,OldChurchSlavic,Slavic,25.0,42.5,Y,N,Y,Y,N,Y,N,N,Y,N,Y,Y,N,Y,,,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Obligatory pronouns in subject position,Mixed indefinites,Related for all demonstratives,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic,Three,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Other position,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,No dominant order,Y,Y,N,N,N,N,,
Old.Spanish,OldSpanish,Italic,-4.0,40.0,,,,,,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word distinct from one,Subject affixes on verb,Mixed indefinites,Unrelated,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,,,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,fixedpostmain,SvAtrxP
Early.Old.Swedish,EarlyOldSwedish,North Germanic,19.75,64.25,Y,N,Y,Y,N,Y,N,,,Y,Y,Y,Y,Y,,,,And different from with,Identity,Definite affix,No indefinite but definite article,Obligatory pronouns in subject position,Interrogativebased,Unrelated,Twoway contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by suffix,Prepositions,NounDemonstrative,VNeg,,NounRelative clause,Present,Inflectional optative absent,,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
Old.Tuscan,OldTuscan,Italic,12.6,43.5,,,,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Mixed indefinites,Unrelated,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural stem change,First second threeth,Marked by preceding word,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
Middle.Welsh,MiddleWelsh,Celtic,-3.0,52.0,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,,,Mixed,And identical to with,Identity,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,Special,Unrelated,Twoway contrast,Identical,Identical,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Mixed morphological plural,First second threeth,Marked by mixed or other strategies,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular,Pronouns only,Initial,No possessive classification,No marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,VSO,Y,N,N,N,N,N,flexiblerelational,SvAtrvP
Achaemenid Elamite,AchaemenidElamite,Elamite,48.23,31.18,,,,,,,,,,N,Y,N,Y,,,,,,Identity,Definite affix,No indefinite but definite article,Subject affixes on verb,Special,Related for all demonstratives,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,,,,NounDemonstrative,NegV,,NounRelative clause,,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,,,,Productive full and partial reduplication,,,,Only the A argument,No dominant order,,,,,,,,SvAtrxP
Amorite,Amorite,Northwest Semitic,40.72,34.71,,,,,,,,,,N,Y,,,N,N,Y,,,,,,,,,,,,In 3rd person  1st andor 2nd person,Semantic and formal,Two,,Plural stem change,,,,,,,,Present,Inflectional optative present,,Second singular,,,,Double marking,,,Present no remoteness distinctions,,Only the A argument,,N,Y,N,N,N,N,,SvAtrxP
Ancient South Arabian,AncientSouthArabian,Central Semitic,45.35,15.42,,,,,,Y,N,,,Y,N,,,N,N,Y,Identity,And different from with,Identity,Definite affix,Indefinite affix,Optional pronouns in subject position,,Related to remote demonstratives,Twoway contrast,,,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural stem change,First two three,,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative present,Special imperative  normal negative,,Pronouns only,,,Double marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,VSO,Y,Y,Y,Y,N,N,fixedpostmain,SvAtrxP
Arabic,Arabic,Central Semitic,33.12,29.63,N,N,N,Y,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,Differentiation,And different from with,Identity,Definite affix,Indefinite affix,Subject affixes on verb,Interrogativebased,Unrelated,Twoway contrast,Identical,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural stem change,First two three,Marked by mixed or other strategies,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  normal negative,Second singular and second plural,Pronouns only,Initial,No possessive classification,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,VSO,Y,Y,Y,Y,N,N,flexiblerelational,SvAtrxP
Coptic,Coptic,Egyptian,31.0,29.4,Y,N,Y,N,Y,Y,N,,,N,Y,N,Y,N,Y,N,,And identical to with,Identity,Definite word distinct from demonstrative,Indefinite word distinct from one,Obligatory pronouns in subject position,Genericnounbased,Unrelated,Threeway contrast,Different stem,,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Variation between negative word and affix,Plural word,First two three,Marked by reduplication,Prepositions,DemonstrativeNoun,NegV,XVO,NounRelative clause,Present,Inflectional optative present,Special imperative  special negative,Second person numberneutral,Pronouns only,Initial,No possessive classification,Dependent marking,Full reduplication only,Inflectional future exists,Present 23 remoteness distinctions,Grammatical marking,No person marking,,N,Y,N,N,N,N,fixedpostmain,SvAtrvP
Dumaitic North Arabian,DumaiticNorthArabian,Central Semitic,39.89,29.8,,,,,,Y,N,,,N,Y,N,Y,N,N,Y,Differentiation,And different from with,Identity,Definite affix,No indefinite but definite article,Subject affixes on verb,,,,,,,Semantic and formal,Two,Negative particle,Plural suffix,,,Prepositions,NounDemonstrative,NegV,,NounRelative clause,,,,Second singular and second plural,Pronouns only,,,,,,,Grammatical marking,Both the A and P arguments,SVO,N,N,N,N,N,N,,
Earlier Egyptian,EarlierEgyptian,Egyptian,30.83,28.38,,,,N,Y,N,Y,,,N,Y,N,Y,N,N,Y,,,,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,,Unrelated,No distance contrast,Identical,,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,,,Prepositions,NounDemonstrative,NegV,,NounRelative clause,Present,Inflectional optative present,Normal imperative  special negative,Second singular and second plural,Pronouns only,,No possessive classification,No marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,,Y,Y,N,N,N,N,flexibleadjacent,SvAtrvP
