lang1,lang2,pdf
MiddleDutch_Dutch,OldFrisian_NorthernFrisian,45.99003777069903
OldEnglish_English,MiddleWelsh_ModernWelsh,39.83036127971668
MiddleGreek_ModernGreek,OldChurchSlavic_ModernBulgarian,39.596095284803305
Arabic_EgyptianArabic,StandardBiblicalHebrew_ModernHebrew,36.22696405984041
OldAlbanian_ArvanitikaAlbanian,MiddleGreek_ModernGreek,29.358764986369412
MiddleGreek_ModernGreek,MiddleGreek_CappadocianGreek,29.15112780134148
OldPortuguese_Portuguese,OldSpanish_Spanish,28.48230042731603
OldSardinian_ModernSardinianLogudorese,OldTuscan_Italian,24.018319016791988
OldSardinian_ModernSardinianLogudorese,OldSicilian_ModernSicilian,23.897034887862713
OldAlbanian_ArvanitikaAlbanian,OldChurchSlavic_ModernBulgarian,23.18318818562014
OldLithuanian_Lithuanian,OldPolish_Polish,20.88389533273373
MiddleBreton_ModernBreton,OldFrench_French,20.356119458004724
